NAME,STATE,COUNTY,x,y
Neche,ND,Pembina County,-97.549,48.98
Pinecreek,MN,Roseau County,-95.943,48.978
Antler,ND,Bottineau County,-101.283,48.975
Hannah,ND,Cavalier County,-98.693,48.972
Pembina,ND,Pembina County,-97.248,48.968
Saint Vincent,MN,Kittson County,-97.226,48.968
Nighthawk,WA,Okanogan County,-119.645,48.966
Sherwood,ND,Renville County,-101.634,48.957
Ambrose,ND,Divide County,-103.485,48.955
Hansboro,ND,Towner County,-99.383,48.952
Lynden,WA,Whatcom County,-122.455,48.946
Chesaw,WA,Okanogan County,-119.054,48.946
Saint John,ND,Rolette County,-99.713,48.945
Sarles,ND,Cavalier County,-98.998,48.943
Oroville,WA,Okanogan County,-119.438,48.939
Kelvin,ND,Rolette County,-100.049,48.938
Simpson,MT,Hill County,-110.207,48.929
Orleans,MN,Kittson County,-96.937,48.926
Maple Falls,WA,Whatcom County,-122.08,48.924
Leroy,ND,Pembina County,-97.753,48.923
Humboldt,MN,Kittson County,-97.094,48.921
Walhalla,ND,Pembina County,-97.916,48.92
Custer,WA,Whatcom County,-122.641,48.917
Northport,WA,Stevens County,-117.784,48.916
Crosby,ND,Divide County,-103.302,48.913
Strandell,WA,Whatcom County,-122.361,48.912
Fortuna,ND,Divide County,-103.776,48.912
Westhope,ND,Bottineau County,-101.023,48.91
Souris,ND,Bottineau County,-100.684,48.91
Leadpoint,WA,Stevens County,-117.589,48.909
Whitlash,MT,Liberty County,-111.254,48.908
Ross,MN,Roseau County,-95.921,48.906
Columbus,ND,Burke County,-102.783,48.905
Warroad,MN,Roseau County,-95.315,48.905
Flaxton,ND,Burke County,-102.397,48.903
Copeland,ID,Boundary County,-116.391,48.902
Comertown,MT,Sheridan County,-104.247,48.901
Landa,ND,Bottineau County,-100.913,48.897
Wales,ND,Cavalier County,-98.606,48.897
Whitetail,MT,Daniels County,-105.164,48.895
Noonan,ND,Divide County,-103.011,48.892
Glacier,WA,Whatcom County,-121.948,48.89
Outlook,MT,Sheridan County,-104.779,48.89
Larson,ND,Burke County,-102.861,48.89
Curlew,WA,Ferry County,-118.601,48.885
Eureka,MT,Lincoln County,-115.055,48.881
Rexford,MT,Lincoln County,-115.211,48.88
Lignite,ND,Burke County,-102.564,48.88
Bathgate,ND,Pembina County,-97.476,48.88
Sunburst,MT,Toole County,-111.905,48.876
Raymond,MT,Sheridan County,-104.578,48.875
Armourdale,ND,Towner County,-99.38,48.873
Westby,MT,Sheridan County,-104.061,48.871
Chapman,MT,Phillips County,-108.133,48.87
Cordell,WA,Okanogan County,-119.414,48.866
Orient,WA,Ferry County,-118.205,48.866
Salol,MN,Roseau County,-95.571,48.866
Metaline Falls,WA,Pend Oreille County,-117.374,48.864
Alkabo,ND,Divide County,-103.888,48.863
Rolla,ND,Rolette County,-99.618,48.86
Opheim,MT,Valley County,-106.412,48.859
Lancaster,MN,Kittson County,-96.805,48.858
Babb,MT,Glacier County,-113.444,48.855
Hogeland,MT,Blaine County,-108.66,48.853
Calvin,ND,Cavalier County,-98.939,48.853
Swift,MN,Roseau County,-95.222,48.853
Metaline,WA,Pend Oreille County,-117.393,48.85
Marble,WA,Stevens County,-117.904,48.849
Glentana,MT,Valley County,-106.253,48.847
Ferndale,WA,Whatcom County,-122.594,48.846
Roseau,MN,Roseau County,-95.763,48.846
Northcote,MN,Kittson County,-97.002,48.845
Turner,MT,Blaine County,-108.414,48.844
Belcourt,ND,Rolette County,-99.748,48.84
Fox,MN,Roseau County,-95.9,48.839
Dunseith,ND,Rolette County,-100.043,48.837
Bottineau,ND,Bottineau County,-100.445,48.827
Deming,WA,Whatcom County,-122.219,48.825
Loomis,WA,Okanogan County,-119.636,48.821
Richland,MT,Valley County,-106.058,48.821
Redstone,MT,Sheridan County,-104.949,48.817
Madoc,MT,Daniels County,-105.278,48.815
Four Buttes,MT,Daniels County,-105.607,48.812
Flaxville,MT,Daniels County,-105.173,48.809
Hamilton,ND,Pembina County,-97.446,48.808
Bowbells,ND,Burke County,-102.247,48.804
Roosevelt,MN,Roseau County,-95.098,48.804
Malo,WA,Ferry County,-118.609,48.801
Olga,ND,Cavalier County,-98.043,48.8
Loring,MT,Phillips County,-107.861,48.793
Van Zandt,WA,Whatcom County,-122.188,48.79
Scobey,MT,Daniels County,-105.42,48.789
Ellisforde,WA,Okanogan County,-119.403,48.788
Rocklake,ND,Towner County,-99.246,48.788
Marietta,WA,Whatcom County,-122.583,48.787
Peerless,MT,Daniels County,-105.836,48.786
Cavalier,ND,Pembina County,-97.628,48.786
Badger,MN,Roseau County,-96.015,48.782
Plentywood,MT,Sheridan County,-104.564,48.78
Akra,ND,Pembina County,-97.728,48.775
Hallock,MN,Kittson County,-96.947,48.775
Clyde,ND,Cavalier County,-98.903,48.772
Williams,MN,Lake of the Woods County,-94.956,48.768
Polebridge,MT,Flathead County,-114.287,48.765
Mohall,ND,Renville County,-101.513,48.765
Fortine,MT,Lincoln County,-114.905,48.764
Whitewater,MT,Phillips County,-107.622,48.763
Bellingham,WA,Whatcom County,-122.473,48.761
Coteau,ND,Burke County,-102.321,48.758
Langdon,ND,Cavalier County,-98.375,48.757
Geneva,WA,Whatcom County,-122.405,48.746
Kevin,MT,Toole County,-111.955,48.743
